dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
6 kk,syyskuu,09/19/2023 00:00:00,4.071
6 kk,syyskuu,09/20/2023 00:00:00,4.07
6 kk,syyskuu,09/21/2023 00:00:00,4.072
6 kk,syyskuu,09/22/2023 00:00:00,4.082
6 kk,syyskuu,09/25/2023 00:00:00,4.122
6 kk,syyskuu,09/26/2023 00:00:00,4.09
6 kk,syyskuu,09/27/2023 00:00:00,4.136
6 kk,syyskuu,09/28/2023 00:00:00,4.125
6 kk,syyskuu,09/29/2023 00:00:00,4.125
6 kk,lokakuu,10/02/2023 00:00:00,4.138
6 kk,lokakuu,10/03/2023 00:00:00,4.128
6 kk,lokakuu,10/04/2023 00:00:00,4.13
6 kk,lokakuu,10/05/2023 00:00:00,4.125
6 kk,lokakuu,10/06/2023 00:00:00,4.113
6 kk,lokakuu,10/09/2023 00:00:00,4.129
6 kk,lokakuu,10/10/2023 00:00:00,4.112
6 kk,lokakuu,10/11/2023 00:00:00,4.114
6 kk,lokakuu,10/12/2023 00:00:00,4.121
6 kk,lokakuu,10/13/2023 00:00:00,4.121
6 kk,lokakuu,10/16/2023 00:00:00,4.103
6 kk,lokakuu,10/17/2023 00:00:00,4.118
6 kk,lokakuu,10/18/2023 00:00:00,4.143
6 kk,lokakuu,10/19/2023 00:00:00,4.126
6 kk,lokakuu,10/20/2023 00:00:00,4.107
6 kk,lokakuu,10/23/2023 00:00:00,4.096
6 kk,lokakuu,10/24/2023 00:00:00,4.102
6 kk,lokakuu,10/25/2023 00:00:00,4.092
6 kk,lokakuu,10/26/2023 00:00:00,4.105
6 kk,lokakuu,10/27/2023 00:00:00,4.102
6 kk,lokakuu,10/30/2023 00:00:00,4.109
